"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"18/10/2025","One Day","2nd Grade","Round 3","Final","Harold Rossiter Park","Harold Rossiter Park","12:00","Hola Health WSCC 1st XI","Bat","CVPCC First XI","10/72 (21.4)","40","Lost","12",,"Hola Health WSCC 1st XI","4/241 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cb56de","cb56de56-b361-4d31-9b03-3ed0a7eada83","E-scoring","18/10/2025 16:49 (Australia/Perth)","20/10/2025 19:32 (Australia/Perth)","Brian Talbot","Curtin Victoria Park Cricket Club"
"18/10/2025","One Day","4th Grade","Round 2","Final","College Park","College Park West - Turf","12:00","Kreative Property WSCC 2nd XI","Bat","Kreative Property WSCC 2nd XI","6/240 (40)","40","Won","11",,"Octagon Lifts CVPCC Second XI","9/125 (40)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"fbc2ce","fbc2cef4-9b78-4382-b619-c809887d1a2c","E-scoring","18/10/2025 17:59 (Australia/Perth)","20/10/2025 17:31 (Australia/Perth)","Brian Talbot","Curtin Victoria Park Cricket Club"
"18/10/2025","One Day","5th Grade","Round 2","Final","Scott Reserve","Scott Reserve 2 (Synthetic)","12:00","High Wycombe 3rd XI","Bowl","High Wycombe 3rd XI","9/187 (40)","40","Lost","11",,"Prestige Liquor WSCC 3rd XI","10/190 (39.3)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"91cb34","91cb3400-8a85-43ab-ac7a-431ad712a489","E-scoring","18/10/2025 18:15 (Australia/Perth)","19/10/2025 20:26 (Australia/Perth)","Alex Ford","Western Suburbs Cricket Club"
"18/10/2025","One Day","7th Grade","Round 2","Final","College Park","College Park Lower - Synthetic","12:00","Ocean Ridge 3rd XI","Bowl","Canaccord Genuity WSCC 4th XI","7/150 (40)","40","Lost","11",,"Ocean Ridge 3rd XI","2/151 (34)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e739e0","e739e04f-0d6b-45f0-a4f4-d2ff55140f0d","E-scoring","18/10/2025 17:24 (Australia/Perth)","19/10/2025 10:59 (Australia/Perth)","Morgan Klug","Western Suburbs Cricket Club"
"18/10/2025","One Day","One Day Grade 1","Round 1","Final","RA Cook Reserve","RA Cook Reserve North (Synthetic)","12:00","WSCC One Day 1's","Bat","Bedford Morley 3rd XI (OD1 Blue)","5/140 (21.2)","40","Won","11",,"WSCC One Day 1's","10/139 (31)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"eb9891","eb9891ea-d82b-4784-8657-2aad5197ce37","E-scoring","18/10/2025 16:35 (Australia/Perth)","18/10/2025 18:52 (Australia/Perth)","Davin Russell","Bedford Morley Cricket Club"
"18/10/2025","One Day","One Day Grade 2","Round 1","Final","Charles Court Reserve","Charles Court Reserve","12:00","Hola Health WSCC One Day 2's","Bat","Hola Health WSCC One Day 2's","8/193 (40)","40","Won","11",,"High Wycombe 4th XI (OD2)","10/136 (31.3)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6eb688","6eb68856-da73-4889-a4d7-6c71c127bdb8","E-scoring","19/10/2025 06:31 (Australia/Perth)","28/10/2025 09:54 (Australia/Perth)","Vinay Verma","Western Suburbs Cricket Club"
"18/10/2025","One Day","One Day Grade 3","Round 1","Final","David Cruikshank Reserve","David Cruikshank Reserve","12:00","WSCC One Day 3's","Bowl","WSCC One Day 3's","10/131 (19.2)","40","Lost","11",,"Kalamunda 4th XI - OD3","2/239 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"71f7ad","71f7ad85-e7b0-49f8-ab23-13ef02950430","E-scoring","18/10/2025 17:06 (Australia/Perth)","20/10/2025 16:35 (Australia/Perth)","Dean Jones","Western Suburbs Cricket Club"
"18/10/2025","One Day","One Day Grade 4","Round 1","Final","Des Penman Memorial Reserve","Des Penman Memorial South (Synthetic)","12:00",,,"Balcatta Cats 5th XI","7/177 (40)","40","Lost","11",,"WSCC One Day 4's","6/178 (31.1)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"13e3af","13e3af86-6316-4555-9a0f-6ec1ae121608","Manual","18/10/2025 20:15 (Australia/Perth)","19/10/2025 12:58 (Australia/Perth)","Andrew Miller","Western Suburbs Cricket Club"
"18/10/2025","One Day","One Day Grade 5 Black","Round 1","Final","Eglinton Aintree Reserve","Eglinton Aintree Reserve","12:00","NBCCC OD5 - Core Wealth","Bat","NBCCC OD5 - Core Wealth","10/119 (35.1)","40","Lost","12",,"WSCC One Day 5's","2/120 (12.5)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7ae986","7ae986f5-56a9-45bf-bd6a-00669c237eef","E-scoring","18/10/2025 15:47 (Australia/Perth)","18/10/2025 16:43 (Australia/Perth)","Mike Davis","Western Suburbs Cricket Club"
"25/10/2025, 01/11/2025","Two Day","2nd Grade","Round 4","Final","Kent Street Senior High School","Kent Street SHS (Turf)","12:30","Hola Health WSCC 1st XI","Bowl","Swan Valley 1st XI","9-d/270 (67.5)","0","Won on first innings","11",,"Hola Health WSCC 1st XI","10/103 (35.5), 1/65 (18)","0","Lost on first innings","12",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"f6cf6c","f6cf6c84-f40f-4b56-9565-47deeb824c57","E-scoring","01/11/2025 16:07 (Australia/Perth)","01/11/2025 16:07 (Australia/Perth)",,""
"25/10/2025","One Day","4th Grade","Round 3","Final","College Park","College Park East - Turf","12:00","Kreative Property WSCC 2nd XI","Bowl","Kreative Property WSCC 2nd XI","6/207 (33)","35","Won","11",,"Swan Valley 2nd XI","8/203 (35)","35","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5f833d","5f833d98-221f-4bcd-8393-eadc2c80f1c3","E-scoring","25/10/2025 18:07 (Australia/Perth)","25/10/2025 18:07 (Australia/Perth)",,""
"25/10/2025","One Day","5th Grade","Round 3","Final","Rosalie Park","Rosalie Park Turf (South Oval)","12:00","Applecross 3rd XI","Bowl","Prestige Liquor WSCC 3rd XI","9/198 (40)","40","Lost","11",,"Applecross 3rd XI","5/199 (38.2)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"da3ef4","da3ef41f-a0d8-4f24-b673-4e138ea939e7","E-scoring","25/10/2025 17:58 (Australia/Perth)","26/10/2025 12:47 (Australia/Perth)","Alex Ford","Western Suburbs Cricket Club"
"25/10/2025","One Day","7th Grade","Round 3","Final","Tom Perrott Reserve","Tom Perrott Reserve","12:00",,,"FMPCC Pirates 5th XI","10/124 (38)","40","Lost","11",,"Canaccord Genuity WSCC 4th XI","3/125 (36)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7d327a","7d327a2a-fd10-4214-9335-453267f5e093","Manual","25/10/2025 17:11 (Australia/Perth)","26/10/2025 21:03 (Australia/Perth)","Morgan Klug","Western Suburbs Cricket Club"
"25/10/2025","One Day","One Day Grade 1","Round 2","Final","Carine Open Space","Carine Open Space","12:00","WSCC One Day 1's","Bowl","NBCCC OD1 - Patties","10/166 (37.5)","40","Lost","11",,"WSCC One Day 1's","7/167 (38)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"74bb04","74bb0404-3c52-448e-a460-8cb3f5b40ed7","E-scoring","25/10/2025 17:22 (Australia/Perth)","26/10/2025 06:18 (Australia/Perth)","Jon Scholtz","Western Suburbs Cricket Club"
"25/10/2025","One Day","One Day Grade 2","Round 2","Final","College Park","College Park Lower - Synthetic","12:00","Hola Health WSCC One Day 2's","Bat","Hola Health WSCC One Day 2's","8/283 (40)","40","Won","11",,"Bayswater Phyio - Bassendean CC 5th XI","10/195 (34.3)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"91f73f","91f73f87-790f-45c7-aaa8-080d1f743a9c","E-scoring","25/10/2025 18:06 (Australia/Perth)","27/10/2025 12:38 (Australia/Perth)","Vinay Verma","Western Suburbs Cricket Club"
