"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"08/11/2025","One Day","One Day Grade 1","Round 4","Final","Pat Goodridge","Wembley Sports Park (Synthetic)","12:30","WSCC One Day 1's","Bowl","Wembley Districts 4th XI","7/366 (40)","40","Won","11",,"WSCC One Day 1's","10/177 (37.5)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"404a75","404a75a1-3ad2-447c-bf1f-eea714ff0ef9","E-scoring","08/11/2025 18:10 (Australia/Perth)","09/11/2025 20:27 (Australia/Perth)","Terry Wallace","Wembley Districts Cricket Club"
"08/11/2025","One Day","One Day Grade 2","Round 4","Final","Charles Court Reserve","Charles Court Reserve","12:30","Hola Health WSCC One Day 2's","Bat","Hola Health WSCC One Day 2's","9/246 (40)","40","Won","11",,"NBCCC OD2 - 1 Solution Finance","3/237 (40)","40","Lost","10",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"c5c5e8","c5c5e84e-53ee-4fd7-9fe6-dce5ad5e98fc","E-scoring","08/11/2025 18:34 (Australia/Perth)","08/11/2025 22:01 (Australia/Perth)",,""
"08/11/2025","One Day","One Day Grade 3","Round 4","Final","Charles Veryard Reserve","Charles Veryard - East","12:30","WSCC One Day 3's","Bat","North Perth 3rd XI","8/164 (36)","40","Lost","11",,"WSCC One Day 3's","8/231 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a7d927","a7d927b7-ab4c-468f-8bac-2118a03893aa","E-scoring","08/11/2025 18:43 (Australia/Perth)","08/11/2025 20:43 (Australia/Perth)","Dean Jones","Western Suburbs Cricket Club"
"08/11/2025","One Day","One Day Grade 4","Round 4","Final","David Cruikshank Reserve","David Cruikshank Reserve","12:30","WSCC One Day 4's","Bowl","WSCC One Day 4's","3/244 (33.2)","40","Won","12",,"MJH Airconditioning Bentley 4th XI","0/243 (40)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"d7d6dc","d7d6dcb7-167d-4ebb-be6f-a285289790b0","Manual","08/11/2025 18:36 (Australia/Perth)","10/11/2025 11:24 (Australia/Perth)","Andrew Stace","Bentley Cricket Club"
"08/11/2025","One Day","One Day Grade 5 Black","Round 4","Final","College Park","College Park Lower - Synthetic","12:30","WSCC One Day 5's","Bat","WSCC One Day 5's","4/206 (40)","40","Won","11",,"Ocean Ridge 4th XI","4/152 (40)","40","Lost","12",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"1f3b31","1f3b3184-3f71-457e-b5cf-d0c3f4638592","E-scoring","08/11/2025 18:15 (Australia/Perth)","08/11/2025 18:15 (Australia/Perth)",,""
"15/11/2025","One Day","One Day Grade 1","Round 5","Upcoming","Waltham Reserve","Waltham Reserve (Turf)","12:30",,,"Bedford Morley 4th XI (OD1 Gold)",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"da0e07","da0e07eb-d8bb-4474-bb1c-a7e9d2616207","","",,"",""
"15/11/2025","One Day","One Day Grade 2","Round 5","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"Bedford Morley 5th XI (OD2)",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ecb7dd","ecb7dde8-627c-459c-9c31-bb21969d2e26","","",,"",""
"15/11/2025","One Day","One Day Grade 3","Round 5","Upcoming","Woodlands Reserve","Woodlands Reserve","12:30",,,"LSR SMCC One Day Threes",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"111ab9","111ab9c8-6d4f-4f94-bed3-8f0e426d5f43","","",,"",""
"15/11/2025","One Day","One Day Grade 4","Round 5","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"SPSTCC 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"bae6af","bae6afc1-f741-4b76-911a-db9d09bf7652","","",,"",""
"15/11/2025","One Day","One Day Grade 5 Black","Round 5","Upcoming","Centenary Park (Wilson)","Centenary Park South-East","12:30",,,"Bentley 5th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5e93b0","5e93b08c-5268-40f5-babc-78f1edc7c3a4","","",,"",""
"16/11/2025","T20","Colts T20","Round 4","Upcoming","College Park","College Park West - Turf","10:30",,,"X Golf WSCC Colts",,"20",,,,"SMCC T20 Colts (U21)",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e17d3b","e17d3b42-8792-4892-8fee-c5eb479dfba6","","",,"",""
"16/11/2025","T20","RJR Sports T20 Division 1","Round 5","Upcoming","Lilac Hill","Lilac Hill 3","12:00",,,"Swan Athletic Div 1 T20",,"20",,,,"Hola Health WSCC T20 Div 1",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"1f7658","1f765807-e161-4dc2-89c2-e7f42d2df330","","",,"",""
"16/11/2025","T20","Twenty20 Div 2","Round 5","Upcoming","Newman College","Newman College - John Lucas Oval (Turf)","14:00",,,"SMCC T20 Div 2",,"20",,,,"Varsity WSCC T20 Div 2",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7bd80f","7bd80fa3-e18b-46b2-8722-3bcff89e443f","","",,"",""
"16/11/2025",,"Twenty20 Div 2","Round 4",,,,,,,,,,,,,,,,,,,"Varsity WSCC T20 Div 2","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"16/11/2025","T20","Twenty20 Div 3","Round 4","Upcoming","College Park","College Park West - Turf","14:00",,,"Prestige Liquor WSCC T20 Div 3",,"20",,,,"MUMCC T20 Div 3",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a9ea84","a9ea84fe-b174-426c-a95f-7e285bd75102","","",,"",""
"29/11/2025, 06/12/2025",,"2nd Grade","Round 6",,,,,,,,,,,,,,,,,,,"Hola Health WSCC 1st XI","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"29/11/2025, 06/12/2025","Two Day","4th Grade","Round 6","Upcoming","College Park","College Park West - Turf","13:00",,,"Kreative Property WSCC 2nd XI",,,,,,"LSR SMCC 4th Grade",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"3fcd15","3fcd1578-717f-49ee-8c71-74d9d2c01c12","","",,"",""
"29/11/2025, 06/12/2025","Two Day","5th Grade","Round 6","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","13:00",,,"Prestige Liquor WSCC 3rd XI",,,,,,"Nail Brewing - Bassendean CC 3rd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"247862","2478626a-73f3-4f90-ac88-8c7c1c701429","","",,"",""
"29/11/2025, 06/12/2025","Two Day","7th Grade","Round 6","Upcoming","Belridge Secondary College","Belridge Secondary College","13:00",,,"Ocean Ridge 3rd XI",,,,,,"Canaccord Genuity WSCC 4th XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9fb304","9fb304be-bee6-4166-9287-99d6098640fd","","",,"",""
"29/11/2025","One Day","One Day Grade 1","Round 6","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"FMPCC Pirates 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e9a010","e9a01017-bfb9-4552-a824-d6415469599e","","",,"",""
"29/11/2025","One Day","One Day Grade 2","Round 6","Upcoming","Fraser Park","Fraser Park","12:30",,,"CVPCC Fourth XI",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"874cd4","874cd442-622d-4f0c-8c27-404eb5a56d88","","",,"",""
"29/11/2025","One Day","One Day Grade 3","Round 6","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 3's",,"40",,,,"Swanbourne CC 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"31d9a6","31d9a616-112c-48d5-82f3-cc191fc7a1a4","","",,"",""
"29/11/2025","One Day","One Day Grade 4","Round 6","Upcoming","Eglinton Aintree Reserve","Eglinton Aintree Reserve","12:30",,,"NBCCC OD4 - Nice n Fresh",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"11f5fe","11f5fe2f-884c-4daa-9f48-8187e57e2787","","",,"",""
"29/11/2025","One Day","One Day Grade 5 Black","Round 6","Upcoming","Charles Court Reserve","Charles Court Reserve","12:30",,,"WSCC One Day 5's",,"40",,,,"FMPCC Pirates 8th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"871626","871626cb-668d-48c0-bed8-83ed585fafd6","","",,"",""
"06/12/2025","One Day","One Day Grade 1","Round 7","Upcoming","Macdonald Park","Macdonald Park North Oval – Synthetic","12:30",,,"Granex Trade Whitfords 4th XI - ODC 1",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"07009f","07009fb5-8ea8-48a3-920b-16f21e954661","","",,"",""
"06/12/2025","One Day","One Day Grade 2","Round 7","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"Swan Valley 3rd XI OD2",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9e6f8c","9e6f8c08-1519-49df-bb3c-00942ee36dc0","","",,"",""
"06/12/2025","One Day","One Day Grade 3","Round 7","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 3's",,"40",,,,"NBCCC OD3",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5f2d56","5f2d568a-b422-45e1-ac86-d9d75e85e7d5","","",,"",""
"06/12/2025","One Day","One Day Grade 4","Round 7","Upcoming","Raphael Park","Raphael Park 3 (North)","12:30",,,"CVPCC Fifth XI",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"92e98c","92e98c4f-7bfe-438b-a6fe-da80211d8b56","","",,"",""
"06/12/2025","One Day","One Day Grade 5 Black","Round 7","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"Wembley Districts 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5328e8","5328e8ca-5ae7-401a-8e41-21512c890a51","","",,"",""
"07/12/2025","T20","Colts T20","Round 5","Upcoming","College Park","College Park West - Turf","10:30",,,"X Golf WSCC Colts",,"20",,,,"MUMCC Colts",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"36d777","36d7779b-beb0-4a9e-8aa6-b0d55db15d79","","",,"",""
"07/12/2025","T20","Twenty20 Div 2","Round 6","Upcoming","College Park","College Park West - Turf","14:00",,,"Varsity WSCC T20 Div 2",,"20",,,,"North Perth T20 Div 2",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6c1232","6c1232cf-5668-4aa3-942b-18a37cc32e41","","",,"",""
"07/12/2025","T20","Twenty20 Div 3","Round 5","Upcoming","Monyash Reserve","Monyash Reserve","14:00",,,"NBCCC Div 3 T20",,"20",,,,"Prestige Liquor WSCC T20 Div 3",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"0995a3","0995a344-1ab1-497c-95be-cae243da6d23","","",,"",""
"13/12/2025","One Day","2nd Grade","Round 7","Upcoming","College Park","College Park West - Turf","12:30",,,"Hola Health WSCC 1st XI",,"40",,,,"Kalamunda 1st XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7ca4d9","7ca4d9ab-0380-4ccf-9c4f-347b04a2c3dc","","",,"",""
"13/12/2025","One Day","4th Grade","Round 7","Upcoming","Monyash Reserve","Monyash Reserve","12:30",,,"NBCCC 2nd XI - Westoz",,"40",,,,"Kreative Property WSCC 2nd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"05a362","05a3623c-77e8-4e94-bad2-cb55e764ffeb","","",,"",""
"13/12/2025","One Day","5th Grade","Round 7","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","12:30",,,"Prestige Liquor WSCC 3rd XI",,"40",,,,"Balcatta Cats 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"acf4ec","acf4ec24-94aa-43ff-8f5a-2e42695ad0bd","","",,"",""
"13/12/2025","One Day","7th Grade","Round 7","Upcoming","Tompkins Park","Tompkins South West","12:30",,,"MUMCC 5th XI",,"40",,,,"Canaccord Genuity WSCC 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e68232","e68232a1-567f-446f-bd47-6fff8a64ff7a","","",,"",""
"13/12/2025","One Day","One Day Grade 1","Round 8","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"Bedford Morley 3rd XI (OD1 Blue)",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cc88c0","cc88c0eb-0014-42fa-86e0-5d9f72cff35d","","",,"",""
"13/12/2025","One Day","One Day Grade 2","Round 8","Upcoming","Kostera Oval","Kostera Oval North (Synthetic)","12:30",,,"Kalamunda 3rd XI - OD2",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"aa3462","aa34621a-f5c7-49a9-8c38-09d065c9a695","","",,"",""
"13/12/2025","One Day","One Day Grade 3","Round 8","Upcoming","Tompkins Park","Tompkins South East","12:30",,,"MUMCC 4th XI",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9bc313","9bc31376-8fa3-4b40-bf38-86185c4f0e9d","","",,"",""
"13/12/2025","One Day","One Day Grade 4","Round 8","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"Ross Realty - Bassendean CC 6th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"71003b","71003bd1-a2b5-4f8f-96e1-cf051c7cf568","","",,"",""
"13/12/2025","One Day","One Day Grade 5 Black","Round 8","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"North Perth 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6d497a","6d497a8a-ebd5-49ce-9c2f-ae4439b23719","","",,"",""
"14/12/2025","T20","Colts T20","Round 6","Upcoming","Lilac Hill","Lilac Hill 3","12:00",,,"Swan Ath U21 COLTS T20",,"20",,,,"X Golf WSCC Colts",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5e4ff8","5e4ff858-f654-4228-adfb-62f75d5b19de","","",,"",""
"14/12/2025",,"Colts T20","Round 7",,,,,,,,,,,,,,,,,,,"X Golf WSCC Colts","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"14/12/2025","T20","RJR Sports T20 Division 1","Round 6","Upcoming","College Park","College Park West - Turf","10:30",,,"Hola Health WSCC T20 Div 1",,"20",,,,"North Perth Garage Force T20 Div 1",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5184f5","5184f50d-5174-40f6-a5bb-6ad02d007007","","",,"",""
"14/12/2025",,"RJR Sports T20 Division 1","Round 7",,,,,,,,,,,,,,,,,,,"Hola Health WSCC T20 Div 1","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"14/12/2025",,"Twenty20 Div 2","Round 7",,,,,,,,,,,,,,,,,,,"Varsity WSCC T20 Div 2","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"14/12/2025","T20","Twenty20 Div 3","Round 6","Upcoming","College Park","College Park West - Turf","14:00",,,"Prestige Liquor WSCC T20 Div 3",,"20",,,,"Nail Brewing - Bassendean CC T20 Div 3",,"20",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ba1d4e","ba1d4ee9-3152-4a1d-bd12-bcc9cb9183d5","","",,"",""
"20/12/2025","One Day","2nd Grade","Round 8","Upcoming","College Park","College Park West - Turf","12:30",,,"Hola Health WSCC 1st XI",,"40",,,,"Granex Trade Whitfords 1st XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"4ee7e8","4ee7e8b2-d275-473b-a636-d800f03d77b6","","",,"",""
"10/01/2026","One Day","2nd Grade","Round 9","Upcoming","Wyong Park","Wyong park","12:30",,,"Bentley 1st XI",,"40",,,,"Hola Health WSCC 1st XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"df19e9","df19e922-e7f6-4af4-a3f8-291d96eaa2a0","","",,"",""
"10/01/2026","One Day","4th Grade","Round 8","Upcoming","College Park","College Park West - Turf","12:30",,,"Kreative Property WSCC 2nd XI",,"40",,,,"Bentley 2nd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"764573","7645731e-d4e5-4218-97a2-3db2b885a90b","","",,"",""
"10/01/2026","One Day","5th Grade","Round 8","Upcoming","Pat Goodridge","Wembley Sports Park (Synthetic)","12:30",,,"Wembley Districts 3rd XI",,"40",,,,"Prestige Liquor WSCC 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7ca600","7ca600e7-ff79-47de-96d4-e8d7c46b3014","","",,"",""
"10/01/2026","One Day","7th Grade","Round 8","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","12:30",,,"Canaccord Genuity WSCC 4th XI",,"40",,,,"SPSTCC 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ef5117","ef5117b8-7b6d-4c25-926a-b4c180957960","","",,"",""
"10/01/2026","One Day","One Day Grade 1","Round 9","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"LSR SMCC One Day Ones",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ecefe5","ecefe5b4-e6ca-4040-a4bc-be64d57e570e","","",,"",""
"10/01/2026","One Day","One Day Grade 2","Round 9","Upcoming","Troy Park","Troy Park","12:30",,,"Applecross 7th XI",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"186f40","186f40ed-efe8-41d7-8b8b-3f1f85fd8bfe","","",,"",""
"10/01/2026","One Day","One Day Grade 3","Round 9","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 3's",,"40",,,,"SPSTCC 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"63fb07","63fb077f-f5f4-483c-ba5e-8d07488677f3","","",,"",""
"10/01/2026","One Day","One Day Grade 4","Round 9","Upcoming","Lilac Hill","Lilac Hill 4","12:30",,,"Swan Athletic OD4",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ed90f3","ed90f367-f199-422b-8bc4-11bd65eb35a9","","",,"",""
"10/01/2026","One Day","One Day Grade 5 Black","Round 9","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"NBCCC OD5 - Core Wealth",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"8ef970","8ef9704d-f30b-440f-b20f-40427eb921f7","","",,"",""
"17/01/2026, 24/01/2026","Two Day","2nd Grade","Round 10","Upcoming","College Park","College Park West - Turf","13:00",,,"Hola Health WSCC 1st XI",,,,,,"NBCCC 1st XI - Pentagon",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"514d61","514d61ac-02d6-489c-b5ef-bed67272d792","","",,"",""
"17/01/2026, 24/01/2026","Two Day","4th Grade","Round 9","Upcoming","Ernest Johnson Oval","Ernest Johnson Oval","13:00",,,"SPSTCC 2nd XI",,,,,,"Kreative Property WSCC 2nd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"c9f4b5","c9f4b55f-1c53-46b1-991b-e6dc0a239f01","","",,"",""
"17/01/2026, 24/01/2026","Two Day","5th Grade","Round 9","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","13:00",,,"Prestige Liquor WSCC 3rd XI",,,,,,"MUMCC 3rd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"b6844f","b6844f65-e98c-4162-96bc-877171d13b15","","",,"",""
"17/01/2026, 24/01/2026","Two Day","7th Grade","Round 9","Upcoming","Jubilee Reserve (EDEN HILL)","Jubilee Reserve North (Synthetic)","13:00",,,"Grill'd Midland - Bassendean CC 4th XI",,,,,,"Canaccord Genuity WSCC 4th XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"dd897f","dd897fe5-40f0-4237-843b-4fa9549288d4","","",,"",""
"17/01/2026","One Day","One Day Grade 1","Round 10","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"NBCCC OD1 - Patties",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"18b2d6","18b2d655-e180-4741-b90c-0ddf6591af25","","",,"",""
"17/01/2026","One Day","One Day Grade 2","Round 10","Upcoming","Ashfield Reserve","Ashfield Reserve","12:30",,,"Bayswater Phyio - Bassendean CC 5th XI",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"aaabe8","aaabe852-2c48-4953-9b2b-9b71839a5dd5","","",,"",""
"17/01/2026","One Day","One Day Grade 3","Round 10","Upcoming","Kostera Oval","Kostera Oval North (Synthetic)","12:30",,,"Kalamunda 4th XI - OD3",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6446ca","6446ca05-2929-49ca-8051-2df1a5c5ed99","","",,"",""
"17/01/2026","One Day","One Day Grade 4","Round 10","Upcoming","Shirley Strickland Reserve","Shirley Strickland - Main Oval","12:30",,,"Applecross 6th XI",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"25488a","25488ab1-90b7-427f-9f59-955770565718","","",,"",""
"17/01/2026","One Day","One Day Grade 5 Black","Round 10","Upcoming","Heathridge Park","Heathridge Park","12:30",,,"Ocean Ridge 4th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6c188d","6c188d0c-f2c3-4502-baa1-645293252f3d","","",,"",""
"24/01/2026","One Day","One Day Grade 1","Round 11","Upcoming","Gil Fraser Reserve","Gil Fraser - Synthetic","12:30",,,"FMPCC Pirates 3rd XI",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ad7f70","ad7f70a6-e118-439a-8a5a-d2be23b901c9","","",,"",""
"24/01/2026","One Day","One Day Grade 2","Round 11","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"CVPCC Fourth XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"69cb26","69cb2692-9c17-4da3-8f53-436e19d67534","","",,"",""
"24/01/2026","One Day","One Day Grade 3","Round 11","Upcoming","Allen Park","Allen Park Lower (Synthetic)","12:30",,,"Swanbourne CC 5th XI",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cd1b0d","cd1b0de2-d5cb-43c4-967f-fa01253068c2","","",,"",""
"24/01/2026","One Day","One Day Grade 4","Round 11","Upcoming","Challenger Reserve","Challenger Reserve","12:30",,,"SPSTCC 4th XI",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"16bb2b","16bb2b7a-2816-4d7e-aa8c-2cb171bb1fd3","","",,"",""
"24/01/2026","One Day","One Day Grade 5 Black","Round 11","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 5's",,"40",,,,"Applecross 8th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"94adb4","94adb4b6-8566-4916-8896-8c7c04d2cd92","","",,"",""
